assembly,candidate_index,candidate_name,party,total_votes_evm,rank,is_top4
Adampur,1,Chander Parkash S/O Arjun Lal,INC,64955,1,1
Adampur,2,Bhavya Bishnoi,BJP,63685,2,1
Adampur,4,Randeep Choudaryvas,INLD,1853,3,1
Adampur,3,Bhupender Beniwal,,1806,4,1
Adampur,0,Krishan Gangwa Parjapati,JJP,1288,5,0
Adampur,9,Rajesh Kumar,,323,6,0
Adampur,10,Ramphal,,197,7,0
Adampur,11,Renu Chahal Balsamand,,154,8,0
Adampur,8,Parmod Baswana,,57,9,0
Adampur,7,Chander Parkash S/O Raja Ram,,51,10,0
Adampur,5,Baljeet Singh,,40,11,0
Adampur,6,Amit,,29,12,0
Ambala Cantt,0,Anil Vij,BJP,59686,1,1
Ambala Cantt,6,Chitra Sarwara,,52438,2,1
Ambala Cantt,3,Parvinder Pal Pari,INC,14412,3,1
Ambala Cantt,2,Onkar Singh,INLD,2857,4,1
Ambala Cantt,1,Avtar Singh,JJP,808,5,0
Ambala Cantt,8,Dharmesh Sood Rinku,,764,6,0
Ambala Cantt,4,Raj Kaur Gill,,520,7,0
Ambala Cantt,5,Naveen Kumar,,334,8,0
Ambala Cantt,9,Naveen Bidla,,234,9,0
Ambala Cantt,7,Jaswinder Golu,,146,10,0
Ambala Cantt,10,Sunil Verma,,100,11,0
Ambala City,2,Nirmal Singh Mohra,INC,84173,1,1
Ambala City,0,Aseem Goel Naneola,BJP,73204,2,1
Ambala City,4,Parul Nagpal Udaipuria,ASP(KR),2420,3,1
Ambala City,1,Ketan Sharma,,1484,4,1
Ambala City,3,Malkit Singh Bhanokheri,BSP,1302,5,0
Ambala City,9,Satnam Singh,,626,6,0
Ambala City,5,Bhupinde,,161,7,0
Ambala City,10,Sunil Dutt,,137,8,0
Ambala City,6,Rmayur Nanda,,134,9,0
Ambala City,8,Sachin Kumar,,124,10,0
Ambala City,7,Lalit Walia,,97,11,0
Assandh,2,Yoginder Singh Rana,BJP,54547,1,1
Assandh,3,Shamsher Singh Gogi,INC,52180,2,1
Assandh,1,Gopal Singh,BSP,27355,3,1
Assandh,8,Zile Ram Sharma,,16233,4,1
Assandh,0,Amandeep Singh Jundla,,4281,5,0
Assandh,5,Maratha Virender Verma,,4206,6,0
Assandh,12,Rekha,,608,7,0
Assandh,13,Advocate Soniya Bohat,,444,8,0
Assandh,7,Jaipal Punia,,348,9,0
Assandh,4,Prem Chand,,328,10,0
Assandh,6,Harjeet Singh,,306,11,0
Assandh,11,Ramphal,,270,12,0
Assandh,10,Baljit Singh,,128,13,0
Assandh,9,Pardeep,,124,14,0
Ateli,3,Arti Singh Rao,BJP,56774,1,1
Ateli,0,Attar Lal,BSP,54274,2,1
Ateli,1,Anita Yadav,INC,29474,3,1
Ateli,2,Aayushi Abhimanyu Rao,JJP,1728,4,1
Ateli,4,Suneel Rao,,209,5,0
Ateli,5,Comrade Om Parkash,,183,6,0
Ateli,6,Jogender Fouji,,154,7,0
Ateli,7,Sadhna,,71,8,0
Badhra,0,Umed Singh,BJP,58605,1,1
Badhra,4,Somvir Singh,,50809,2,1
Badhra,14,Somveer Ghasola,INC,26570,3,1
Badhra,3,Vijay Kumar,INLD,1948,4,1
Badhra,1,Yashvir,JJP,1304,5,0
Badhra,2,Rakesh Chandwas,,1199,6,0
Badhra,6,Ajit,,512,7,0
Badhra,13,Andeep,,195,8,0
Badhra,5,Mahender Jevali,,145,9,0
Badhra,11,Vikash,,96,10,0
Badhra,9,Jitender Singh Sheorain,,86,11,0
Badhra,10,Dinesh Kumar,,68,12,0
Badhra,12,Nands Vidy,,68,13,0
Badhra,8,Chitar Singh,,38,14,0
Badhra,7,Ashok,,17,15,0
Badkhal,1,Dhanesh Adlakha,BJP,79386,1,1
Badkhal,4,Vijay Pratap Singh,INC,73197,2,1
Badkhal,3,Manoj Choudhary,BSP,2493,3,1
Badkhal,0,Om Prakash Verma,,1679,4,1
Badkhal,2,Parvinder Singh,JJP,657,5,0
Badkhal,5,Kamal Bali,,371,6,0
Badkhal,6,Prem Chand Gaur,,228,7,0
Badkhal,8,Bakil Akhtar,,157,8,0
Badkhal,7,Aabid Khan,,113,9,0
Badli,1,Kuldeep Vats,INC,67555,1,1
Badli,0,Omprakash Dhankar,BJP,51052,2,1
Badli,4,Ajit Gulia Jeete,,10799,3,1
Badli,3,Harpal Singh,,595,4,1
Badli,2,Krishan Kumar,JJP,517,5,0
Badli,8,Sandeep,,200,6,0
Badli,5,Amit Kumar,,123,7,0
Badli,7,Virender Singh Bilu,,79,8,0
Badli,6,Poonam,,40,9,0
Badshahpur,1,Rao Narbir Singh,BJP,145248,1,1
Badshahpur,3,Vardhan Yadav,INC,84636,2,1
Badshahpur,7,Kumudni Rakesh Daultabad,,30833,3,1
Badshahpur,2,Bir Singh Biru Sarpanch,,12934,4,1
Badshahpur,6,Comrade Balwan Singh,,3038,5,0
Badshahpur,0,Joginder Singh,BSP,1561,6,0
Badshahpur,4,Surender Kumar,JJP,441,7,0
Badshahpur,8,Ravinder Yadav,,403,8,0
Badshahpur,12,Satish,,225,9,0
Badshahpur,10,Rambhagat Yadav,,192,10,0
Badshahpur,11,Vinod Kumar,,179,11,0
Badshahpur,9,Rakesh Bhardwaj,,159,12,0
Badshahpur,5,Chanderpal,,155,13,0
Bahadurgarh,11,Rajesh Joon,,73087,1,1
Bahadurgarh,1,Dinesh Kaushik,BJP,31064,2,1
Bahadurgarh,2,Rajinder Singh Joon,INC,28735,3,1
Bahadurgarh,3,Sheela Nafe Singh Rathee,INLD,17475,4,1
Bahadurgarh,8,Ramesh Dalal,,4726,5,0
Bahadurgarh,0,Kuldeep Singh Chhikara,,959,6,0
Bahadurgarh,9,Rajesh Kumar S/O Chattar Singh,,512,7,0
Bahadurgarh,10,Rajesh Kumar S/O Ramdiya,,487,8,0
Bahadurgarh,12,Rohit Kumar,,292,9,0
Bahadurgarh,7,Mahender,,254,10,0
Bahadurgarh,13,Sunita,,187,11,0
Bahadurgarh,6,Parveen Kumar,,93,12,0
Bahadurgarh,4,Goyal Arun,,81,13,0
Bahadurgarh,5,Chesta,,66,14,0
Ballabgarh,1,Mool Chand Sharma,BJP,61706,1,1
Ballabgarh,7,Sharda Rathore,,43992,2,1
Ballabgarh,5,Rao Ram Kumar,,23054,3,1
Ballabgarh,0,Smt. Parag Sharma,INC,8627,4,1
Ballabgarh,2,Ravindra Faujdar,,6625,5,0
Ballabgarh,6,Vandana Singh,,784,6,0
Ballabgarh,4,Advocate Brahma Prakash,,326,7,0
Ballabgarh,3,Atul,,198,8,0
Baroda,0,Induraj Singh Narwal,INC,53787,1,1
Baroda,5,Kapoor Singh Narwal,,48585,2,1
Baroda,3,Pardeep Singh Sangwan,BJP,22359,3,1
Baroda,2,Dharam Vir,BSP,1728,4,1
Baroda,4,Sandeep Malik,,1279,5,0
Baroda,1,Deepak Malik,JJP,597,6,0
Baroda,6,Devender Kumar Alias Nitu Mor,,198,7,0
Barwala,2,Ranbir Gangwa,BJP,66546,1,1
Barwala,3,Ramniwas Ghorela,INC,39376,2,1
Barwala,4,Sanjana Satroad,INLD,28936,3,1
Barwala,1,Prof. Chhattar Pal Singh,,2521,4,1
Barwala,0,Anant Ram,JJP,477,5,0
Barwala,5,Rajiv Khatak,,355,6,0
Barwala,7,Renu Daljeet Singh,,217,7,0
Barwala,6,Baba Darshan Giri,,179,8,0
Barwala,8,Sumit Bloda,,82,9,0
Bawal,0,Dr. Krishan Kumar,BJP,86119,1,1
Bawal,2,Dr. M.L. Ranga,INC,66228,2,1
Bawal,3,Sampat Ram Dahanwal,INLD,1427,3,1
Bawal,1,Jawahar Lal,,563,4,1
Bawal,9,Sunil Kumar,,249,5,0
Bawal,8,Raj Narayan,,167,6,0
