assembly,village,candidate,party,votes,rank_in_ac,is_top4
Adampur,Adampur,Chander Parkash S/O Arjun Lal,INC,432,1,1
Adampur,Adampur,Bhavya Bishnoi,BJP,993,2,1
Adampur,Adampur,Randeep Choudaryvas,INLD,4,3,1
Adampur,Adampur,Bhupender Beniwal,,9,4,1
Adampur,Adampur,Krishan Gangwa Parjapati,JJP,12,5,0
Adampur,Adampur,Rajesh Kumar,,2,6,0
Adampur,Adampur,Ramphal,,2,7,0
Adampur,Adampur,Renu Chahal Balsamand,,3,8,0
Adampur,Adampur,Parmod Baswana,,0,9,0
Adampur,Adampur,Chander Parkash S/O Raja Ram,,1,10,0
Adampur,Adampur,Baljeet Singh,,0,11,0
Adampur,Adampur,Amit,,0,12,0
Adampur,Asrawan,Chander Parkash S/O Arjun Lal,INC,400,1,1
Adampur,Asrawan,Bhavya Bishnoi,BJP,1039,2,1
Adampur,Asrawan,Randeep Choudaryvas,INLD,17,3,1
Adampur,Asrawan,Bhupender Beniwal,,416,4,1
Adampur,Asrawan,Krishan Gangwa Parjapati,JJP,4,5,0
Adampur,Asrawan,Rajesh Kumar,,9,6,0
Adampur,Asrawan,Ramphal,,0,7,0
Adampur,Asrawan,Renu Chahal Balsamand,,1,8,0
Adampur,Asrawan,Parmod Baswana,,5,9,0
Adampur,Asrawan,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Asrawan,Baljeet Singh,,0,11,0
Adampur,Asrawan,Amit,,0,12,0
Adampur,Bagla,Chander Parkash S/O Arjun Lal,INC,1236,1,1
Adampur,Bagla,Bhavya Bishnoi,BJP,866,2,1
Adampur,Bagla,Randeep Choudaryvas,INLD,78,3,1
Adampur,Bagla,Bhupender Beniwal,,32,4,1
Adampur,Bagla,Krishan Gangwa Parjapati,JJP,53,5,0
Adampur,Bagla,Rajesh Kumar,,5,6,0
Adampur,Bagla,Ramphal,,1,7,0
Adampur,Bagla,Renu Chahal Balsamand,,1,8,0
Adampur,Bagla,Parmod Baswana,,0,9,0
Adampur,Bagla,Chander Parkash S/O Raja Ram,,1,10,0
Adampur,Bagla,Baljeet Singh,,0,11,0
Adampur,Bagla,Amit,,0,12,0
Adampur,Balsamand,Chander Parkash S/O Arjun Lal,INC,4214,1,1
Adampur,Balsamand,Bhavya Bishnoi,BJP,2748,2,1
Adampur,Balsamand,Randeep Choudaryvas,INLD,80,3,1
Adampur,Balsamand,Bhupender Beniwal,,35,4,1
Adampur,Balsamand,Krishan Gangwa Parjapati,JJP,51,5,0
Adampur,Balsamand,Rajesh Kumar,,22,6,0
Adampur,Balsamand,Ramphal,,11,7,0
Adampur,Balsamand,Renu Chahal Balsamand,,9,8,0
Adampur,Balsamand,Parmod Baswana,,5,9,0
Adampur,Balsamand,Chander Parkash S/O Raja Ram,,1,10,0
Adampur,Balsamand,Baljeet Singh,,4,11,0
Adampur,Balsamand,Amit,,3,12,0
Adampur,Banda Heri,Chander Parkash S/O Arjun Lal,INC,928,1,1
Adampur,Banda Heri,Bhavya Bishnoi,BJP,317,2,1
Adampur,Banda Heri,Randeep Choudaryvas,INLD,16,3,1
Adampur,Banda Heri,Bhupender Beniwal,,5,4,1
Adampur,Banda Heri,Krishan Gangwa Parjapati,JJP,5,5,0
Adampur,Banda Heri,Rajesh Kumar,,3,6,0
Adampur,Banda Heri,Ramphal,,0,7,0
Adampur,Banda Heri,Renu Chahal Balsamand,,1,8,0
Adampur,Banda Heri,Parmod Baswana,,0,9,0
Adampur,Banda Heri,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Banda Heri,Baljeet Singh,,0,11,0
Adampur,Banda Heri,Amit,,1,12,0
Adampur,Beed Hisar,Chander Parkash S/O Arjun Lal,INC,1316,1,1
Adampur,Beed Hisar,Bhavya Bishnoi,BJP,1303,2,1
Adampur,Beed Hisar,Randeep Choudaryvas,INLD,55,3,1
Adampur,Beed Hisar,Bhupender Beniwal,,35,4,1
Adampur,Beed Hisar,Krishan Gangwa Parjapati,JJP,13,5,0
Adampur,Beed Hisar,Rajesh Kumar,,7,6,0
Adampur,Beed Hisar,Ramphal,,5,7,0
Adampur,Beed Hisar,Renu Chahal Balsamand,,1,8,0
Adampur,Beed Hisar,Parmod Baswana,,2,9,0
Adampur,Beed Hisar,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Beed Hisar,Baljeet Singh,,3,11,0
Adampur,Beed Hisar,Amit,,2,12,0
Adampur,Bhana,Chander Parkash S/O Arjun Lal,INC,748,1,1
Adampur,Bhana,Bhavya Bishnoi,BJP,1701,2,1
Adampur,Bhana,Randeep Choudaryvas,INLD,24,3,1
Adampur,Bhana,Bhupender Beniwal,,18,4,1
Adampur,Bhana,Krishan Gangwa Parjapati,JJP,9,5,0
Adampur,Bhana,Rajesh Kumar,,4,6,0
Adampur,Bhana,Ramphal,,5,7,0
Adampur,Bhana,Renu Chahal Balsamand,,5,8,0
Adampur,Bhana,Parmod Baswana,,1,9,0
Adampur,Bhana,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Bhana,Baljeet Singh,,1,11,0
Adampur,Bhana,Amit,,0,12,0
Adampur,Bhodia Bishnoiyan,Chander Parkash S/O Arjun Lal,INC,744,1,1
Adampur,Bhodia Bishnoiyan,Bhavya Bishnoi,BJP,1348,2,1
Adampur,Bhodia Bishnoiyan,Randeep Choudaryvas,INLD,7,3,1
Adampur,Bhodia Bishnoiyan,Bhupender Beniwal,,12,4,1
Adampur,Bhodia Bishnoiyan,Krishan Gangwa Parjapati,JJP,18,5,0
Adampur,Bhodia Bishnoiyan,Rajesh Kumar,,6,6,0
Adampur,Bhodia Bishnoiyan,Ramphal,,5,7,0
Adampur,Bhodia Bishnoiyan,Renu Chahal Balsamand,,2,8,0
Adampur,Bhodia Bishnoiyan,Parmod Baswana,,0,9,0
Adampur,Bhodia Bishnoiyan,Chander Parkash S/O Raja Ram,,2,10,0
Adampur,Bhodia Bishnoiyan,Baljeet Singh,,0,11,0
Adampur,Bhodia Bishnoiyan,Amit,,0,12,0
Adampur,Bir Babran,Chander Parkash S/O Arjun Lal,INC,616,1,1
Adampur,Bir Babran,Bhavya Bishnoi,BJP,768,2,1
Adampur,Bir Babran,Randeep Choudaryvas,INLD,8,3,1
Adampur,Bir Babran,Bhupender Beniwal,,12,4,1
Adampur,Bir Babran,Krishan Gangwa Parjapati,JJP,4,5,0
Adampur,Bir Babran,Rajesh Kumar,,5,6,0
Adampur,Bir Babran,Ramphal,,4,7,0
Adampur,Bir Babran,Renu Chahal Balsamand,,3,8,0
Adampur,Bir Babran,Parmod Baswana,,0,9,0
Adampur,Bir Babran,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Bir Babran,Baljeet Singh,,0,11,0
Adampur,Bir Babran,Amit,,1,12,0
Adampur,Budak,Chander Parkash S/O Arjun Lal,INC,1228,1,1
Adampur,Budak,Bhavya Bishnoi,BJP,787,2,1
Adampur,Budak,Randeep Choudaryvas,INLD,22,3,1
Adampur,Budak,Bhupender Beniwal,,10,4,1
Adampur,Budak,Krishan Gangwa Parjapati,JJP,11,5,0
Adampur,Budak,Rajesh Kumar,,7,6,0
Adampur,Budak,Ramphal,,0,7,0
Adampur,Budak,Renu Chahal Balsamand,,4,8,0
Adampur,Budak,Parmod Baswana,,1,9,0
Adampur,Budak,Chander Parkash S/O Raja Ram,,1,10,0
Adampur,Budak,Baljeet Singh,,0,11,0
Adampur,Budak,Amit,,0,12,0
Adampur,Chabarwal,Chander Parkash S/O Arjun Lal,INC,245,1,1
Adampur,Chabarwal,Bhavya Bishnoi,BJP,228,2,1
Adampur,Chabarwal,Randeep Choudaryvas,INLD,0,3,1
Adampur,Chabarwal,Bhupender Beniwal,,13,4,1
Adampur,Chabarwal,Krishan Gangwa Parjapati,JJP,5,5,0
Adampur,Chabarwal,Rajesh Kumar,,4,6,0
Adampur,Chabarwal,Ramphal,,2,7,0
Adampur,Chabarwal,Renu Chahal Balsamand,,0,8,0
Adampur,Chabarwal,Parmod Baswana,,0,9,0
Adampur,Chabarwal,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Chabarwal,Baljeet Singh,,0,11,0
Adampur,Chabarwal,Amit,,0,12,0
Adampur,Chikanwas,Chander Parkash S/O Arjun Lal,INC,883,1,1
Adampur,Chikanwas,Bhavya Bishnoi,BJP,832,2,1
Adampur,Chikanwas,Randeep Choudaryvas,INLD,24,3,1
Adampur,Chikanwas,Bhupender Beniwal,,8,4,1
Adampur,Chikanwas,Krishan Gangwa Parjapati,JJP,9,5,0
Adampur,Chikanwas,Rajesh Kumar,,2,6,0
Adampur,Chikanwas,Ramphal,,3,7,0
Adampur,Chikanwas,Renu Chahal Balsamand,,1,8,0
Adampur,Chikanwas,Parmod Baswana,,0,9,0
Adampur,Chikanwas,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Chikanwas,Baljeet Singh,,2,11,0
Adampur,Chikanwas,Amit,,0,12,0
Adampur,Choudharywali,Chander Parkash S/O Arjun Lal,INC,430,1,1
Adampur,Choudharywali,Bhavya Bishnoi,BJP,1394,2,1
